id,name,address,location_id,latitude,longitude,stars,rating,reviews_count,min_price,distance_to_center,property_type,photos_count,amenities,badges,popularity,popularity2,trending_speed,weights,district_name,nearest_airport,nearest_metro_station,nearest_train_station,nearest_beach
1915703441,"Гостевой дом ""Кардиана""","улица Моряков, 44","Сочи, Россия",43.904827,39.347916,0,0.0,0,0,46477,HOTEL,22,[],,24363,4,0.0,0.31807184,Сочи - Лазаревский район,69617.0,,2445.0,966.0
1913318530,"Гостевой дом ""Валентина""","улица Солоники, 53А","Сочи, Россия",43.8844,39.37749,0,0.0,0,0,43210,HOTEL,14,[],,24362,0,0.0,0.31807184,Сочи - Лазаревский район,66339.0,,,1658.0
1910480107,"Частный дом ""Солоники""","Тихорецкая улица, 20","Сочи, Россия",43.883873,39.369762,0,0.0,0,0,43566,HOTEL,6,[],,24361,0,0.0,0.31807184,Сочи - Лазаревский район,66723.0,,,1111.0
1917234268,,"Ушакова улица, 19А","Сочи, Россия",43.910706,39.32622,0,0.0,0,0,48111,HOTEL,4,[],,24360,0,0.0,0.31807184,Сочи - Лазаревский район,71292.0,,649.0,258.0
1907412388,"Гостиница ""Номера у Залины""","Хвойная улица, 1/11","Сочи, Россия",43.896988,39.351807,0,0.0,0,0,45612,HOTEL,24,[],,24359,4,0.0,0.31807184,Сочи - Лазаревский район,68771.0,,3191.0,313.0
1908165572,"Отель ""Dadayan""","Марьинское шоссе, 13","Сочи, Россия",43.90344,39.341377,0,0.0,0,0,46702,HOTEL,24,[],,24358,0,0.0,0.31807184,Сочи - Лазаревский район,69867.0,,2090.0,932.0
1917294952,,"Ушакова улица, 15","Сочи, Россия",43.910484,39.325855,0,0.0,0,0,48112,HOTEL,10,[],,24356,0,0.0,0.31807184,Сочи - Лазаревский район,71295.0,,649.0,220.0
1907417146,"Гостевой дом ""МАВИТЕЛЬ""","улица Тормахова, 5","Сочи, Россия",43.907467,39.34294,0,0.0,0,0,46959,HOTEL,24,[],,24354,8,0.0,0.31807184,Сочи - Лазаревский район,70104.0,,1957.0,1302.0
1917222367,,"Ольховая улица, 27Г","Сочи, Россия",43.877636,39.39204,0,0.0,0,0,41886,HOTEL,24,[],,24353,0,0.0,0.31807184,Сочи - Лазаревский район,64992.0,,,3019.0
1908165594,"Гостевой дом ""Петергоф""","улица Единство, 14","Сочи, Россия",43.911953,39.340633,0,0.0,0,0,47459,HOTEL,24,[],,24352,5,0.0,0.31807184,Сочи - Лазаревский район,70594.0,,1616.0,1342.0
